Key	Korean	English
Gallery.CompatibilityReportUnsupported	지원하지 않는 호환성 보고서 버전입니다.	The compatibility report version is not supported.
Gallery.CompatibilityReportLoadFailed	호환성 보고서가 손상되었거나 필수 결과가 없습니다.	The compatibility report is damaged or missing required results.
Gallery.ComparisonTitle	레시피 팩 호환성 비교	Recipe pack compatibility comparison
Gallery.ComparisonSummaryFormat	신규 실패 {0} · 복구 {1} · 메타데이터 변경 {2} · 추가 {3} · 제거 {4}	New failures {0} · Recovered {1} · Metadata changes {2} · Added {3} · Removed {4}
Gallery.Comparison.BaselineFormat	기준: {0}	Baseline: {0}
Gallery.Comparison.CurrentFormat	현재: {0}	Current: {0}
Gallery.Comparison.ProjectSchemaFormat	프로젝트 스키마 {0} → {1}	Project schema {0} → {1}
Gallery.Comparison.Unchanged	변경 없음	Unchanged
Gallery.Comparison.MetadataChanged	메타데이터 변경	Metadata changed
Gallery.Comparison.NewlyFailed	신규 실패	New failure
Gallery.Comparison.Recovered	복구	Recovered
Gallery.Comparison.Added	추가	Added
Gallery.Comparison.Removed	제거	Removed
Gallery.Comparison.OutcomeFormat	결과 {0} → {1}	Outcome {0} → {1}
Gallery.Comparison.SchemaFormat	스키마 {0} → {1}	Schema {0} → {1}
Gallery.Comparison.BuildFormat	빌드 {0} → {1}	Build {0} → {1}
Gallery.Comparison.NotPresent	없음	Not present
Gallery.Comparison.SafeHint	보고서 비교는 프로젝트를 열거나 레시피를 실행·저장하지 않습니다.	Comparing reports does not open a project or run or save a recipe.
Gallery.CloseComparison	비교 닫기	Close comparison
Gallery.Sequence	시퀀스	Sequence
Gallery.EquipmentFocus	고유 장비	Distinctive equipment
Gallery.TopologySummaryCompact	축 {0} · 센서 {1} · 실린더 {2} · 컨베이어 {3} · 워크 {4}	Axes {0} · Sensors {1} · Cyl {2} · Conv {3} · Wafers {4}
Gallery.Axes	축	Axes
Gallery.Devices	장치	Devices
Gallery.Channels	I/O 채널	I/O channels
Gallery.Components	레이아웃 구성요소	Layout components
Gallery.Steps	시퀀스 단계	Sequence steps
Gallery.LoadFailed	내장 반도체 레시피를 불러오지 못했습니다.	The bundled semiconductor recipes could not be loaded.
Gallery.TemplateOverwriteRejected	내장 원본 레시피는 덮어쓸 수 없습니다. 다른 위치에 복사본을 저장하십시오.	The bundled recipe cannot be overwritten. Save the copy to another location.
Gallery.CopySucceeded	'{0}' 복사본을 설계 모드로 열었습니다.	Opened a copy of '{0}' in Design mode.
Connections.Tab	연결	Connections
Connections.Title	레시피 연결	Recipe connections
Connections.QuickAddTitle	구성요소 추가 및 자동 연결	Add and connect equipment
Connections.QuickAddHint	기존 프로젝트 모델에 축·장치·I/O가 함께 생성됩니다. 센서는 스테이지 또는 워크피스 카드를 먼저 선택하면 해당 대상을 연결하며, 상세 연결은 오른쪽 속성에서 편집합니다.	Axis, device, and I/O definitions are created together in the existing project model. For a sensor, first select its stage or workpiece target; edit detailed links in Properties.
Connections.StationSkeletonPreview	반도체 스테이션 구성	Configure semiconductor station
Connections.StationSkeletonPreviewTooltip	현재 레시피에서 누락된 반도체 이송 스테이션 역할을 찾아 적용 전에 보여줍니다.	Find missing semiconductor transfer-station roles in the current recipe and show them before applying.
Connections.LoadLockSetupPreview	로드락 설정	Load-lock setup
Connections.LoadLockSetupPreviewTooltip	현재 프로젝트의 로드락 도어, 압력 I/O, 펌프·벤트 시간을 한 화면에서 확인하고 편집합니다.	Review and edit this project's load-lock doors, pressure I/O, and pump/vent timings in one place.
Connections.LoadLockSetupTitle	로드락 챔버 설정	Load-lock chamber setup
Connections.LoadLockSetupScope	현재 프로젝트 · 로드락 1대	Current project · one load-lock chamber
Connections.LoadLockSetupHint	저장된 설정을 불러왔습니다. 적용 전에는 프로젝트가 바뀌지 않으며 적용은 실행 또는 파일 저장을 시작하지 않습니다.	Saved values are restored here. Nothing changes before Apply, and Apply does not run or save the project file.
Connections.LoadLockSetupApply	설정 적용	Apply setup
Connections.LoadLockSetupApplyTooltip	표시된 로드락 설정을 현재 프로젝트 모델에 적용합니다. 실행과 파일 저장은 시작하지 않습니다.	Apply the shown load-lock setup to the current project model. This does not run or save the project file.
Connections.LoadLockSetupClose	닫기	Close
Connections.LoadLockSetupCloseTooltip	프로젝트를 변경하지 않고 로드락 설정을 닫습니다.	Close the load-lock setup without changing the project.
Connections.LoadLockSetupReset	저장값 복원	Restore saved
Connections.LoadLockSetupResetTooltip	현재 프로젝트에서 읽은 값으로 되돌립니다. 아직 저장된 설정이 없으면 현재 후보의 제안값으로 되돌립니다.	Restore values read from the current project. If no setup exists yet, restore the suggested values from current candidates.
Connections.LoadLockSetupOuterDoor	외측 도어 실린더	Outer-door cylinder
Connections.LoadLockSetupInnerDoor	내측 도어 실린더	Inner-door cylinder
Connections.LoadLockSetupEvacuate	배기 명령 (DO)	Evacuate output (DO)
Connections.LoadLockSetupVent	벤트 명령 (DO)	Vent output (DO)
Connections.LoadLockSetupVacuumReady	진공 준비 센서 (DI)	Vacuum-ready DI
Connections.LoadLockSetupAtmosphereReady	대기압 준비 센서 (DI)	Atmosphere-ready DI
Connections.LoadLockSetupPumpDown	펌프다운 시간 (ms)	Pump-down time (ms)
Connections.LoadLockSetupVentDuration	벤트 시간 (ms)	Vent time (ms)
Connections.LoadLockSetupMissing	누락	missing
Connections.LoadLockSetupValidationReady	값이 유효합니다. 적용 후 일반 저장을 사용하면 현재 프로젝트에 유지됩니다.	Values are valid. Apply, then use the normal Save command to retain them in this project.
Connections.LoadLockSetupValidationError	서로 다른 도어 실린더, 서로 다른 배기·벤트 출력과 진공·대기압 입력을 선택하십시오. 시간은 양수이며 고정 스텝의 배수여야 합니다.	Select distinct door cylinders, distinct evacuate/vent outputs, and distinct vacuum/atmosphere inputs. Timings must be positive multiples of the fixed step.
Connections.LoadLockSetupMultipleError	현재 설정 화면은 프로젝트당 로드락 1대를 지원합니다. 중복 로드락 장치를 먼저 정리하십시오.	This setup surface supports one load-lock chamber per project. Remove duplicate load-lock devices first.
Connections.LoadLockSetupAppliedStatus	로드락 설정을 적용했습니다. 실행은 시작되지 않았으며 파일 저장 후 다시 열면 복원됩니다.	Applied the load-lock setup. No run started; save the file to restore it when reopened.
Connections.LoadLockSetupNoChangesStatus	로드락 설정에 적용할 변경이 없습니다.	There are no load-lock setup changes to apply.
Connections.WaferHandlerSetupPreview	웨이퍼 핸들러 설정	Wafer-handler setup
Connections.WaferHandlerSetupPreviewTooltip	레시피 08의 축·워크피스·핸들러 I/O와 위치를 한 화면에서 편집합니다.	Edit recipe 08 axes, workpiece, handler I/O, and positions in one place.
Connections.PrealignerSetupPreview	프리얼라이너 설정	Pre-aligner setup
Connections.PrealignerSetupPreviewTooltip	레시피 03의 회전 스테이지·클램프·정렬 I/O를 한 화면에서 편집합니다.	Edit recipe 03 rotary stage, clamp, and alignment I/O in one place.
Connections.WaferHandlerSetupTitle	웨이퍼 핸들러 설정	Wafer-handler setup
Connections.PrealignerSetupTitle	프리얼라이너 설정	Pre-aligner setup
Connections.SemanticSetupHint	적용 전에는 프로젝트가 변경되지 않으며 실행이나 저장을 시작하지 않습니다.	Nothing changes before Apply; Apply does not run or save the project.
Connections.SemanticSetupApply	설정 적용	Apply setup
Connections.SemanticSetupClose	닫기	Close
Connections.SemanticSetupReset	저장값 복원	Restore saved
Connections.WaferHandlerHorizontalAxis	수평축	Horizontal axis
Connections.WaferHandlerVerticalAxis	수직축	Vertical axis
Connections.WaferHandlerWorkpiece	워크피스	Workpiece
Connections.WaferHandlerSourcePresent	소스 감지 DI	Source-present DI
Connections.WaferHandlerGateInput	게이트 열림 DI	Gate-open DI
Connections.WaferHandlerPickCommand	픽 명령 DO	Pick command DO
Connections.WaferHandlerPlaceCommand	플레이스 명령 DO	Place command DO
Connections.WaferHandlerHoldingFeedback	홀딩 피드백 DI	Holding feedback DI
Connections.WaferHandlerPlacedFeedback	배치 피드백 DI	Placed feedback DI
Connections.WaferHandlerPickHorizontal	픽 수평 위치	Pick horizontal position
Connections.WaferHandlerPickVertical	픽 수직 위치	Pick vertical position
Connections.WaferHandlerPlaceHorizontal	플레이스 수평 위치	Place horizontal position
Connections.WaferHandlerPlaceVertical	플레이스 수직 위치	Place vertical position
Connections.PrealignerStage	회전 스테이지	Rotary stage
Connections.PrealignerClamp	클램프 실린더	Clamp cylinder
Connections.PrealignerWaferPresentInput	웨이퍼 감지 DI	Wafer-present DI
Connections.PrealignerAccepted	정렬 승인 DO	Alignment accepted DO
Connections.PrealignerReady	정렬 준비 DI	Alignment ready DI
Connections.PrealignerComplete	정렬 완료 DI	Alignment complete DI
Connections.PrealignerTarget	목표 각도 (deg)	Target angle (deg)
Connections.PrealignerTolerance	허용오차 (deg)	Tolerance (deg)
Connections.WaferHandlerSetupValidationReady	값이 유효합니다. 적용 후 일반 저장을 사용하십시오.	Values are valid. Apply, then use the normal Save command.
Connections.WaferHandlerSetupValidationError	서로 다른 유효한 축·워크피스·I/O를 선택하고 위치를 축 한계 안에 입력하십시오.	Select valid distinct axes, workpiece, I/O, and positions within axis limits.
Connections.WaferHandlerSetupMultipleError	프로젝트당 웨이퍼 핸들러 1대만 지원합니다. 중복 장치를 먼저 정리하십시오.	This setup surface supports one wafer handler per project. Remove duplicates first.
Connections.WaferHandlerSetupAppliedStatus	웨이퍼 핸들러 설정을 적용했습니다. 실행은 시작되지 않았습니다.	Applied the wafer-handler setup. No run started.
Connections.WaferHandlerSetupNoChangesStatus	웨이퍼 핸들러 설정에 적용할 변경이 없습니다.	There are no wafer-handler changes to apply.
Connections.PrealignerSetupValidationReady	값이 유효합니다. 적용 후 일반 저장을 사용하십시오.	Values are valid. Apply, then use the normal Save command.
Connections.PrealignerSetupValidationError	유효한 회전 스테이지·클램프·서로 다른 I/O와 범위 내 각도를 입력하십시오.	Select a valid rotary stage, clamp, distinct I/O, and in-range angles.
Connections.PrealignerSetupMultipleError	프로젝트당 프리얼라이너 1대만 지원합니다. 중복 장치를 먼저 정리하십시오.	This setup surface supports one pre-aligner per project. Remove duplicates first.
Connections.PrealignerSetupAppliedStatus	프리얼라이너 설정을 적용했습니다. 실행은 시작되지 않았습니다.	Applied the pre-aligner setup. No run started.
Connections.PrealignerSetupNoChangesStatus	프리얼라이너 설정에 적용할 변경이 없습니다.	There are no pre-aligner changes to apply.
Connections.InspectionHandoffSetupPreview	검사 인계 설정	Inspection handoff setup
Connections.InspectionHandoffSetupPreviewTooltip	검사 카메라와 위치·준비·완료 I/O를 한 화면에서 편집합니다.	Edit the inspection camera and position, ready, and complete I/O in one place.
Connections.InspectionSortSetupPreview	검사 분류 설정	Inspection sort setup
Connections.InspectionSortSetupPreviewTooltip	검사 카메라, PASS/NG 컨베이어와 라우팅 피드백을 한 화면에서 편집합니다.	Edit the inspection camera, PASS/NG conveyors, and route feedback in one place.
Connections.OhtSetupPreview	OHT 인계 설정	OHT handoff setup
Connections.OhtSetupPreviewTooltip	운송 컨베이어와 OHT 인계 입력을 한 화면에서 편집합니다.	Edit the transport conveyor and OHT handoff inputs in one place.
Connections.InspectionHandoffSetupTitle	검사 인계 설정	Inspection handoff setup
Connections.InspectionSortSetupTitle	검사 분류 설정	Inspection sort setup
Connections.OhtSetupTitle	OHT 인계 설정	OHT handoff setup
Connections.InspectionSetupCamera	검사 카메라	Inspection camera
Connections.InspectionSetupPosition	검사 위치 DI	Inspection-position DI
Connections.InspectionSetupAccepted	결과 승인 DO	Result-accepted DO
Connections.InspectionSetupReady	검사 준비 DI	Inspection-ready DI
Connections.InspectionSetupComplete	검사 완료 DI	Inspection-complete DI
Connections.InspectionSortPassConveyor	PASS 컨베이어	PASS conveyor
Connections.InspectionSortNgConveyor	NG 컨베이어	NG conveyor
Connections.InspectionSortPassFeedback	PASS 라우팅 DI	PASS-routed DI
Connections.InspectionSortNgFeedback	NG 라우팅 DI	NG-routed DI
Connections.OhtTransportConveyor	운송 컨베이어	Transport conveyor
Connections.OhtSetupRouteAvailable	경로 가용 DI	Route-available DI
Connections.OhtSetupVehicleDocked	차량 도킹 DI	Vehicle-docked DI
Connections.OhtSetupLoadPortReady	로드포트 준비 DI	Load-port-ready DI
Connections.OhtCarrierReceived	캐리어 수신 DI	Carrier-received DI
Connections.OhtHandoffReady	인계 준비 DI	Handoff-ready DI
Connections.OhtCarrierTransferred	캐리어 인계 DI	Carrier-transferred DI
Connections.InspectionHandoffSetupValidationReady	값이 유효합니다. 적용 후 일반 저장을 사용하십시오.	Values are valid. Apply, then use the normal Save command.
Connections.InspectionHandoffSetupValidationError	카메라와 서로 다른 검사 위치·준비·완료 DI 및 결과 승인 DO를 선택하십시오.	Select a camera, distinct inspection position/ready/complete DI channels, and a result-accepted DO.
Connections.InspectionHandoffSetupMultipleError	프로젝트당 검사 인계 장치 1대만 지원합니다. 중복 장치를 먼저 정리하십시오.	This setup surface supports one inspection handoff per project. Remove duplicates first.
Connections.InspectionHandoffSetupAppliedStatus	검사 인계 설정을 적용했습니다. 실행은 시작되지 않았습니다.	Applied the inspection handoff setup. No run started.
Connections.InspectionHandoffSetupNoChangesStatus	검사 인계 설정에 적용할 변경이 없습니다.	There are no inspection-handoff changes to apply.
Connections.InspectionSortSetupValidationReady	값이 유효합니다. 적용 후 일반 저장을 사용하십시오.	Values are valid. Apply, then use the normal Save command.
Connections.InspectionSortSetupValidationError	카메라, 서로 다른 PASS/NG 컨베이어와 라우팅 DI를 선택하십시오.	Select a camera, distinct PASS/NG conveyors, and distinct route feedback DI channels.
Connections.InspectionSortSetupMultipleError	프로젝트당 검사 분류 장치 1대만 지원합니다. 중복 장치를 먼저 정리하십시오.	This setup surface supports one inspection sorter per project. Remove duplicates first.
Connections.InspectionSortSetupAppliedStatus	검사 분류 설정을 적용했습니다. 실행은 시작되지 않았습니다.	Applied the inspection sort setup. No run started.
Connections.InspectionSortSetupNoChangesStatus	검사 분류 설정에 적용할 변경이 없습니다.	There are no inspection-sort changes to apply.
Connections.OhtSetupValidationReady	값이 유효합니다. 적용 후 일반 저장을 사용하십시오.	Values are valid. Apply, then use the normal Save command.
Connections.OhtSetupValidationError	컨베이어와 서로 다른 6개의 OHT DigitalInput을 선택하십시오.	Select a conveyor and six distinct OHT DigitalInput channels.
Connections.OhtSetupMultipleError	프로젝트당 OHT 인계 장치 1대만 지원합니다. 중복 장치를 먼저 정리하십시오.	This setup surface supports one OHT handoff per project. Remove duplicates first.
Connections.OhtSetupAppliedStatus	OHT 인계 설정을 적용했습니다. 실행은 시작되지 않았습니다.	Applied the OHT handoff setup. No run started.
Connections.OhtSetupNoChangesStatus	OHT 인계 설정에 적용할 변경이 없습니다.	There are no OHT setup changes to apply.
Connections.StationSkeletonTitle	반도체 스테이션 골격	Semiconductor station skeleton
Connections.StationSkeletonHintCurrent	기존 구성은 유지됩니다. 적용은 누락 역할만 연결하며 실행 또는 저장을 시작하지 않습니다.	Existing definitions are kept. Apply connects only missing roles and does not run or save the project.
Connections.StationSkeletonSummaryFormat	추가 {0:N0}개 · 기존 유지 {1:N0}개 · 확인 필요 {2:N0}개	{0:N0} to add · {1:N0} existing kept · {2:N0} need review
Connections.StationSkeletonApplyFormat	누락 역할 {0:N0}개 적용	Apply {0:N0} missing roles
Connections.StationSetupApplyOnly	설정 적용	Apply setup
Connections.StationSetupApplyWithRolesFormat	설정 및 누락 역할 {0:N0}개 적용	Apply setup + {0:N0} roles
Connections.StationSkeletonApply	반도체 스테이션 골격 적용	Apply semiconductor station skeleton
Connections.StationSkeletonApplyTooltip	미리보기에서 추가로 표시된 역할만 현재 레시피에 연결합니다.	Connect only the roles marked as additions in the preview to the current recipe.
Connections.StationSkeletonClose	닫기	Close
Connections.StationSkeletonCloseTooltip	변경하지 않고 반도체 스테이션 미리보기를 닫습니다.	Close the semiconductor-station preview without changing the recipe.
Connections.StationSkeletonRole.StationLayout	스테이션 레이아웃	Station layout
Connections.StationSkeletonRole.MachineFrame	장비 프레임	Machine frame
Connections.StationSkeletonRole.Transport	웨이퍼 이송	Wafer transport
Connections.StationSkeletonRole.Workpiece	웨이퍼	Wafer
Connections.StationSkeletonRole.ProcessAxisStage	공정 축·스테이지	Process axis and stage
Connections.StationSkeletonRole.EntrySensor	진입 센서	Entry sensor
Connections.StationSkeletonRole.ProcessSensor	공정 위치 센서	Process-position sensor
Connections.StationSkeletonRole.ProcessCylinder	공정 실린더	Process cylinder
Connections.StationSkeletonRole.RequiredIo	필수 I/O	Required I/O
Connections.StationSkeletonRole.AutomaticSequence	자동 시퀀스	Automatic sequence
Connections.StationSkeletonIoFormat	{0:N0}개 채널	{0:N0} channels
Connections.StationSkeletonProposedFormat	추가 · {0}	Add · {0}
Connections.StationSkeletonExistingFormat	기존 유지 · {0}	Keep existing · {0}
Connections.StationSkeletonLayoutConflict	적용 안 함 · 활성 레이아웃을 먼저 선택하십시오.	Not applied · select a valid active layout first.
Connections.StationSkeletonSequenceConflict	적용 안 함 · 자동 실행 시퀀스 연결을 먼저 수정하십시오.	Not applied · repair the automatic-sequence link first.
Connections.StationSkeletonUnavailable	적용 안 함 · 기존 역할의 연결을 먼저 확인하십시오.	Not applied · review the existing role connection first.
Connections.StationSkeletonAppliedStatus	반도체 스테이션 누락 역할 {0:N0}개를 연결했습니다. 저장하면 현재 프로젝트에 유지됩니다.	Connected {0:N0} missing semiconductor-station roles. Save to retain them in the current project.
Connections.StationSkeletonNoChangesStatus	적용할 반도체 스테이션 누락 역할이 없습니다.	There are no missing semiconductor-station roles to apply.
Connections.StationSetupAppliedStatus	반도체 스테이션 설정을 적용했습니다. 파일 저장 후 다시 열면 같은 프로젝트에서 복원됩니다.	Applied the semiconductor station setup. Save the file to restore it with this project when reopened.
Connections.StationSetupTitle	반도체 스테이션 설정	Semiconductor station setup
Connections.StationSetupHint	한 화면에서 설정값과 연결 역할을 확인하십시오. 적용 전에는 프로젝트가 바뀌지 않으며 실행 또는 저장도 시작하지 않습니다.	Review setup values and connected roles in one place. Nothing changes before Apply, and Apply does not run or save the project.
Connections.StationSetupApply	반도체 스테이션 설정 적용	Apply semiconductor station setup
Connections.StationSetupApplyTooltip	표시된 설정을 현재 프로젝트에 저장하고 누락된 역할을 연결합니다. 실행과 파일 저장은 시작하지 않습니다.	Store the shown setup in the current project and connect missing roles. This does not run or save the project file.
Connections.StationSetupStationName	스테이션명	Station name
Connections.StationSetupWaferType	웨이퍼 유형	Wafer type
Connections.StationSetupAxisTravel	축 이동거리 (mm)	Axis travel (mm)
Connections.StationSetupTransportSpeed	이송 속도 (mm/s)	Transport speed (mm/s)
Connections.StationSetupEntrySensor	진입 센서 X	Entry sensor X
Connections.StationSetupProcessSensor	공정 센서 X	Process sensor X
Connections.StationSetupCylinderTiming	실린더 시간 (ms)	Cylinder time (ms)
Connections.StationSetupReset	기본값	Defaults
Connections.StationSetupResetTooltip	표시된 스테이션 설정을 기본값으로 되돌립니다. 적용 전에는 프로젝트가 변경되지 않습니다.	Reset the shown station setup to defaults. The project remains unchanged until Apply.
Connections.StationSetupValidationReady	값이 유효합니다. 적용 후 일반 저장을 사용하면 현재 프로젝트에 유지됩니다.	Values are valid. Apply, then use the normal Save command to retain them in this project.
Connections.StationSetupValidationError	이름을 입력하고 양수인 이동거리·속도·시간을 사용하십시오. 진입 센서 X는 공정 센서 X보다 작아야 합니다.	Enter both names and positive travel, speed, and time values. Entry sensor X must be less than process sensor X.
Connections.StationSetupInvalidRestored	저장된 설정이 유효하지 않아 프로젝트에서 확인된 값 또는 기본값을 불러왔습니다.	The saved setup was invalid, so detected project values or defaults were loaded.
Connections.ProcessBlockPreview	공정 블록 구성	Compose process block
Connections.ProcessBlockPreviewTooltip	적재·정렬·공정·검사·배출 블록을 선택하고 통합 누락 연결과 시퀀스 단계를 적용 전에 보여줍니다.	Select load, align, process, inspect, and unload blocks and preview their combined missing connections and Sequence steps before applying.
Connections.ProcessBlockTitle	반도체 공정 계획	Semiconductor process plan
Connections.ProcessBlockHint	필요한 블록을 공정 순서대로 선택하십시오. 한 번의 적용은 통합 누락 연결과 단계만 추가하며 실행 또는 저장을 시작하지 않습니다.	Select the needed blocks in process order. One Apply adds only the combined missing connections and steps; it does not run or save the project.
Connections.ProcessBlock.Load	적재	Load
Connections.ProcessBlock.Align	정렬	Align
Connections.ProcessBlock.Process	공정	Process
Connections.ProcessBlock.Inspect	검사	Inspect
Connections.ProcessBlock.Unload	배출	Unload
Connections.ProcessBlockSummaryFormat	연결 추가 {0:N0}개 · 단계 추가 {1:N0}개 · 기존 단계 {2:N0}개 · 확인 필요 {3:N0}개	{0:N0} connections to add · {1:N0} steps to add · {2:N0} existing steps · {3:N0} need review
Connections.ProcessBlockPlanSelectionFormat	선택 {0:N0}개 블록	{0:N0} blocks selected
Connections.ProcessBlockPlanReady	선택한 블록을 공정 순서대로 한 번에 적용합니다.	The selected blocks will be applied once in process order.
Connections.ProcessBlockPlanEmpty	하나 이상의 공정 블록을 선택하십시오.	Select at least one process block.
Connections.ProcessBlockApply	공정 블록 적용	Apply process block
Connections.ProcessBlockApplyFormat	연결 {0:N0}개 + 단계 {1:N0}개 적용	Apply {0:N0} connections + {1:N0} steps
Connections.ProcessBlockApplyTooltip	선택한 모든 블록의 누락 연결과 호환 시퀀스 단계를 현재 프로젝트에 한 번에 원자적으로 추가합니다.	Atomically add all selected blocks' missing connections and compatible Sequence steps to the current project in one operation.
Connections.ProcessBlockClose	닫기	Close
Connections.ProcessBlockCloseTooltip	프로젝트를 변경하지 않고 공정 블록 미리보기를 닫습니다.	Close the process-block preview without changing the project.
Connections.ProcessBlockStepProposed	추가	Add
Connections.ProcessBlockStepExisting	기존 유지	Keep existing
Connections.ProcessBlockStepCustomized	사용자 조정	Customized
Connections.ProcessBlockStepProposedRemoval	삭제 예정	Remove
Connections.ProcessBlockStepUnavailable	적용 안 함	Not applied
Connections.ProcessBlockTemplateValueFormat	기본값 {0}	template {0}
Connections.ProcessBlockFilterLabel	단계 보기	Show steps
Connections.ProcessBlockFilterAll	전체	All
Connections.ProcessBlockFilterConflict	충돌	Conflict
Connections.ProcessBlockFilterCountFormat	{0} {1:N0}	{0} {1:N0}
Connections.ProcessBlockFilterEmpty	선택한 상태의 단계가 없습니다.	No steps match this status.
Connections.ProcessBlockTimeoutTitle	표시 단계 타임아웃 일괄 조정	Batch timeout for shown steps
Connections.ProcessBlockTimeoutInput	새 타임아웃(밀리초)	New timeout (milliseconds)
Connections.ProcessBlockTimeoutPreview	변경 미리보기	Preview changes
Connections.ProcessBlockTimeoutPreviewTooltip	현재 필터에 표시된 호환 대기 단계의 기존값과 새 값을 비교합니다. 프로젝트는 변경하지 않습니다.	Compare current and new values for compatible wait steps shown by the current filter. This does not change the project.
Connections.ProcessBlockTimeoutApply	타임아웃 적용	Apply timeouts
Connections.ProcessBlockTimeoutApplyFormat	{0:N0}개 타임아웃 적용	Apply {0:N0} timeouts
Connections.ProcessBlockTimeoutApplyTooltip	미리보기한 모든 단계가 그대로 유효할 때만 타임아웃을 한 번에 적용합니다.	Apply all previewed timeouts only when every step is still valid and unchanged.
Connections.ProcessBlockTimeoutCancel	미리보기 취소	Cancel preview
Connections.ProcessBlockTimeoutCancelTooltip	프로젝트를 변경하지 않고 타임아웃 미리보기를 닫습니다.	Close the timeout preview without changing the project.
Connections.ProcessBlockTimeoutScopeFormat	표시 단계 {1:N0}개 중 호환 대기 단계 {0:N0}개	{0:N0} compatible wait steps among {1:N0} shown steps
